_id,business_id,date,code,description
1,08FOOD-0174,20140507,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Quaternary ammonia / Chlorine / Iodine
2,08FOOD-0174,20140507,"(29) PLUMBING: Installed, maintained",Observed dishwasher spray sink waste drain to be in disrepair. The waste pipe appeared to be separated from the basin and is hanging into the floor drain. Possible hazard of back flow. Please repair the waste pipe and restore air gap separation.
3,08FOOD-0174,20140507,"(42) OTHER OPERATIONS: Premises; maintained; free of litter, unnecessary articles; cleaning and maintenance equipment properly stored; authorized personnel.","Observed paper products napkins, paper towels stored in employee bathroom. Please find alternative storage location for these products."
4,08FOOD-0174,20140820,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",Observed portable cutting boards to be soiled with deep grooves. Please resurface or replace cutting boards and wash and sanitize.
5,08FOOD-0175,20140218,(2) FOOD: Original Container; properly labeled.,Sugar container is not labeled. Label.
6,08FOOD-0175,20140218,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Cheese is stacked too high in prep cooler. Store cheese lower in order to maintain a proper temp of 41F or below.
7,08FOOD-0175,20140218,"(12) PERSONNEL: Hands washed; clean, good hygienic practices.",CRITICAL VIOLATION.  Hand soap is not available at the hand wash sink. Sink was blocked by garbage bin. Keep sinks easily accessible and stocked with soap and paper towels.
8,08FOOD-0175,20140218,(33) GARBAGE AND REFUSE DISPOSAL: Containers or receptables covered; adequate number; insect/rodent proof; frequency; clean.,Outside dumpsters are open. Keep lids closed to avoid rodents.
9,08FOOD-0175,20140725,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Prep cooler is 54F. Cooler must maintain food at 41F; including times of food perpetration. Discontinue use of cooler until repaired.
10,08FOOD-0175,20140725,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Quaternary ammonia 0ppm. Sanitizer buckets do not contain sanitizer. Provide 50-100ppm CL or Quat.
11,08FOOD-0175,20140725,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",Ice cream scoops are sitting in heavily soiled dipper wells. Clean and sanitize on a regular basis.
12,08FOOD-0175,20140725,"(35) INSECT, RODENT, ANIMAL CONTROL: Presence of insects/rodents; outer openings protected; no birds, turtles, other animals.",CRITICAL VIOLATION. Fruit flies observed neat donuts. Clean area and floor drains. Provide treatment from a certified pest control company.
62,08FOOD-0181,20140702,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Shelves contain food debris. Clean.
13,08FOOD-0175,20140725,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",Floors are soiled. Rodenticide was found open and exposed in the back storage area. Remove and clean area.
14,08FOOD-0175,20140731,"(35) INSECT, RODENT, ANIMAL CONTROL: Presence of insects/rodents; outer openings protected; no birds, turtles, other animals.",CRITICAL VIOLATION. Fruit flies were observed around donut display. 5-10 fruit flies were found on donuts. Donuts were discarded. Donuts must be kept covered and a certified pest control company must treat area. Re-inspection will occur Monday.
15,08FOOD-0175,20150115,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Containers of ice cream in the walk in freezer are not covered. Cover the containers to avoid potential foreign objects from contaminating it.
16,08FOOD-0175,20150115,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The waffle iron is soiled. The bread knife holder is soiled. Clean all food contact surfaces on a routine basis to prevent an accumulation of debris.
17,08FOOD-0175,20150115,(40) DRESSING ROOMS: Rooms/facilities clean; lockers provided.,Employee belongings are being stored on the dry storage shelving. Provide a larger area or more lockers to store employee belongings.
18,08FOOD-0175,20150115,"(41) OTHER OPERATIONS: Toxic items properly stored, labeled and used.",CRITICAL VIOLATION. A chemical cleaner is being stored next to bags of coffee grounds under the cash register. Store all chemicals in a designated area away from food.
19,08FOOD-0177,20140404,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Do not store raw meat above ready to eat items or cans of soda. Move meat to bottom shelf in order to help prevent cross contamination.
20,08FOOD-0177,20140404,"(21) FOOD EQUIPMENT AND UTENSILS: Wiping cloths: clean, use restricted",Store wiping cloths in a sanitizer bucket in between uses.
21,08FOOD-0177,20140404,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,Grease and dust build-up is seen on side of stove hood and along wall. Clean area.
22,08FOOD-0177,20140404,"(31) TOILET AND HAND WASHING FACILITIES: Number, convenient, accessible, designed, installed.",CRITICAL VIOLATION. Bowl of rice was sitting on hand wash sink. Do not block hand wash sink. Provide paper towels at hand way sink located downstairs.
23,08FOOD-0177,20141111,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Raw shell eggs and raw eats are being stored above ready to eat foods in the coolers in the kitchen and in the walk in cooler in the basement. All raw foods must be stored under ready to eat foods to prevent potential contamination.
24,08FOOD-0177,20141111,"(20) FOOD EQUIPMENT AND UTENSILS: Sanitization rinse: clean, temperature, concentration.",CRITICAL VIOLATION. The 3 compartment sinks are both not set up properly. They do not contain any bleach. The third compartment should have a bleach/chlorine concentration of 50 - 100 ppm.
25,08FOOD-0177,20141111,"(22) FOOD EQUIPMENT AND UTENSILS: Food contact surfaces of equipment and utensils: clean, free of abrasives and detergents.",The drop plate to the ice machine in the basement is soiled. Routinely clean the interior of the ice machine.
26,08FOOD-0177,20141111,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor under the cooking equipment is soiled. Routinely clean the floors to prevent attracting pests.
27,08FOOD-0177,20150305,(2) FOOD: Original Container; properly labeled.,Various spice containers throughout the establishment are not labeled. Any product out of the original container must be labeled.
28,08FOOD-0177,20150305,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Raw shell eggs are being stored above containers of tofu and carrots in the two door upright cooler and above egg rolls in the other upright cooler. Store all raw eggs below ready to eat foods to avoid potential cross contamination.
29,08FOOD-0177,20150305,(10) CROSS CONTAMINATION: Food (ice) dispensing utensils properly stored.,Ice scoop near the host area is stored improperly with the handle in contact with the ice. Store the scoop in a separate container or stabbed in the ice with the handle pointing up
30,08FOOD-0177,20150305,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.",Various containers used to store food are in disrepair. Discard the container and replace with an intact container to avoid potential contamination.
31,08FOOD-0177,20150305,"(15) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces: designed, constructed, maintained, installed, located.",The plastic protective covering is still on the buttons for the microwave. It is heavily soiled and in disrepair. Remove the covering.
32,08FOOD-0177,20150305,(23) FOOD EQUIPMENT AND UTENSILS: Non-food contact surfaces of equipment and utensils: clean.,The top of the broiler under the fume hood is soiled with grease. The side of the hot hold station is soiled. Routinely clean all areas to prevent accumulation of grease and debris.
33,08FOOD-0177,20150305,"(36) FLOORS, WALLS AND CEILINGS: Floors; constructed, drained, clean, good repair, coving installation; dustless cleaning methods.",The floor behind the fryers is soiled. Routinely clean all floors to prevent attracting and harboring pests.
34,08FOOD-0177,20150305,(45) OTHER OPERATIONS: CERTIFIED FOOD HANDLER.,"CRITICAL VIOLATION. As of July 1, 2014 the State of Illinois requires any food handler, unless that person has a valid Illinois Food Service Sanitation Manager Certification(FSSMC), to complete a food handler training course. A food handler is defined as an individual working with unpackaged food, food equipment or utensils, or food-contact surfaces."
35,08FOOD-0177,20150622,"(3) FOOD PROTECTION: Potentially hazardous food meets temperature and date marking requirements during storage, preparation, display, service and transportation",CRITICAL VIOLATION. Noodles are being held in the cooler that's not working. They were moved to another cooler.
63,08FOOD-0181,20140702,"(24) FOOD EQUIPMENT AND UTENSILS: Storage, handling of clean equipment, utensils.",Increase water flow for ice cream dipper well.
36,08FOOD-0177,20150622,(4) FOOD PROTECTION: Facilities to maintain product temperature.,CRITICAL VIOLATION. The reach in cooler next to the pass thru window has an internal temperature of 60 F. Do not store potentially hazardous food in the cooler until it has been repaired and can hold product at 41 F or less.
37,08FOOD-0177,20150622,"(8) CROSS CONTAMINATION: Food protection during storage, preparation, display, service and transportation",Raw shell eggs are being stored above produce and tofu in the walk in cooler. Store all raw shell eggs below ready to eat food.
38,08FOOD-0177,20150622,"(14) FOOD EQUIPMENT AND UTENSILS: Food (ice) contact surfaces: designed, constructed, maintained, installed, located.","The shelf above the cook line is lined with foil. This is not an approved surface. Remove the foil and repair the shelf to be easily cleanable, smooth, and non absorbent."
